Processor,CPU.Mark.Single,Price
Intel Core i7-8700K @ 3.70GHz,2711,347.89
Intel Core i7-8700 @ 3.20GHz,2624,301.99
Intel Core i7-7740X @ 4.30GHz,2621,351.52
Intel Core i7-7700K @ 4.20GHz,2584,303.99
Intel Xeon W-2125 @ 4.00GHz,2559,444
Intel Xeon W-2155 @ 3.30GHz,2558,1440
Intel Xeon W-2135 @ 3.70GHz,2556,989.48
Intel Xeon W-2150B @ 3.00GHz,2531,
Intel Core i7-4790K @ 4.00GHz,2531,386.99
Intel Core i5-8600K @ 3.60GHz,2514,238.99
Intel Xeon W-2145 @ 3.70GHz,2513,1113
Intel Core i9-7900X @ 3.30GHz,2481,921.99
Intel Core i5-7640X @ 4.00GHz,2453,221.29
Intel Core i3-7350K @ 4.20GHz,2442,171.45
Intel Xeon E3-1280 v6 @ 3.90GHz,2440,
Intel Core i5-8500 @ 3.00GHz,2437,204.99
Intel Core i9-7920X @ 2.90GHz,2437,1101.01
Intel Core i7-7820X @ 3.60GHz,2430,469.99
Intel Core i7-8700T @ 2.40GHz,2427,421.21
Intel Core i7-7900X @ 3.30GHz,2409,
Intel Core i9-7940X @ 3.10GHz,2403,1369.79
Intel Xeon E3-1285 v6 @ 4.10GHz,2401,450
Intel Xeon Gold 6144 @ 3.50GHz,2398,2925
Intel Core i5-7600K @ 3.80GHz,2385,232.36
Intel Xeon E3-1286L v3 @ 3.20GHz,2376,774
Intel Core i3-7320 @ 4.10GHz,2373,173.19
Intel Core i9-7960X @ 2.80GHz,2365,1564.14
Intel Xeon E3-1275 v6 @ 3.80GHz,2363,376.98
Intel Core i7-6700K @ 4.00GHz,2351,475.01
Intel Core i7-7700 @ 3.60GHz,2350,303.69
Intel Xeon E3-1281 v3 @ 3.70GHz,2350,877.75
Intel Core i9-7980XE @ 2.60GHz,2340,1891.27
Intel Xeon W-2195 @ 2.30GHz,2337,2553
Intel Core i3-8350K @ 4.00GHz,2332,174.99
Intel Core i5-8400 @ 2.80GHz,2325,177.99
Intel Core i3-7300 @ 4.00GHz,2321,158.1
Intel Core i5-7600 @ 3.50GHz,2310,218.95
Intel Xeon E3-1535M v6 @ 3.10GHz,2303,
Intel Xeon E3-1276 v3 @ 3.60GHz,2286,548.91
Intel Core i7-4790 @ 3.60GHz,2285,335.49
Intel Core i7-8705G @ 3.10GHz,2283,
Intel Xeon E3-1285L v3 @ 3.10GHz,2279,809
Intel Core i7-8650U @ 1.90GHz,2276,
Intel Xeon E3-1270 v6 @ 3.80GHz,2274,352.59
Intel Xeon E3-1271 v3 @ 3.60GHz,2271,490.96
Intel Xeon E3-1285 v3 @ 3.60GHz,2270,
Intel Xeon E3-1285L v4 @ 3.40GHz,2270,
Intel Core i7-7567U @ 3.50GHz,2267,
Intel Xeon E-2186M @ 2.90GHz,2267,623
Intel Core i7-4940MX @ 3.10GHz,2261,659.95
Intel Xeon E3-1241 v3 @ 3.50GHz,2257,464.35
Intel Xeon E3-1280 v5 @ 3.70GHz,2257,664.58
Intel Core i7-5950HQ @ 2.90GHz,2255,
Intel Core i7-4770K @ 3.50GHz,2254,464.91
Intel Xeon E3-1286 v3 @ 3.70GHz,2248,839
Intel Core i7-4980HQ @ 2.80GHz,2247,
Intel Xeon E3-1246 v3 @ 3.50GHz,2247,470.24
Intel Core i7-4790S @ 3.20GHz,2244,377.77
Intel Core i7-7800X @ 3.50GHz,2243,379.99
Intel Core i7-5775C @ 3.30GHz,2237,440.44
Intel Core i5-4690K @ 3.50GHz,2237,323.39
Intel Core i3-6320 @ 3.90GHz,2236,165.76
Intel Xeon E3-1280 v3 @ 3.60GHz,2235,697.36
Intel Xeon W-2140B @ 3.20GHz,2233,
Intel Core i3-7100 @ 3.90GHz,2229,114.98
Intel Xeon E3-1270 v3 @ 3.50GHz,2229,369.99
Intel Core i7-4770 @ 3.40GHz,2228,373.5
Intel Core i7-7660U @ 2.50GHz,2223,
Intel Xeon E3-1230 v6 @ 3.50GHz,2221,254.65
Intel Core i3-4370 @ 3.80GHz,2220,461
Intel Core i7-4771 @ 3.50GHz,2218,831
Intel Xeon W-2133 @ 3.60GHz,2216,617
Intel Core i5-4690 @ 3.50GHz,2214,309.95
Intel Core i5-4690S @ 3.20GHz,2213,569
Intel Xeon E3-1240 v5 @ 3.50GHz,2212,341.67
Intel Xeon E3-1245 v6 @ 3.70GHz,2208,299.53
Intel Xeon E5-1680 v4 @ 3.40GHz,2206,
Intel Xeon E3-1275 v3 @ 3.50GHz,2199,400.99
Intel Core i7-5675C @ 3.10GHz,2197,
Intel Core i5-4670K @ 3.40GHz,2192,240
Intel Xeon E3-1275L v3 @ 2.70GHz,2190,
