Processor,CPU.Mark,Price
Intel Xeon Platinum 8173M @ 2.00GHz,28860,
Intel Xeon Gold 6154 @ 3.00GHz,27789,3543
Intel Core i9-7980XE @ 2.60GHz,27764,1891.27
Intel Xeon W-2195 @ 2.30GHz,26470,2553
Intel Core i9-7960X @ 2.80GHz,25493,1564.14
Intel Xeon Gold 6138 @ 2.00GHz,25416,2689.99
Intel Xeon E5-2679 v4 @ 2.50GHz,25236,2702
Intel Core i9-7940X @ 3.10GHz,25047,1369.79
Intel Xeon E5-2697A v4 @ 2.60GHz,23609,
Intel Xeon E5-2699 v4 @ 2.20GHz,23392,8010
Intel Core i9-7920X @ 2.90GHz,23238,1101.01
Intel Xeon E5-2696 v3 @ 2.30GHz,22526,2498
Intel Xeon W-2155 @ 3.30GHz,22409,1440
Intel Xeon E5-2699 v3 @ 2.30GHz,22358,3353.9
Intel Core i9-7900X @ 3.30GHz,22281,921.99
AMD Ryzen Threadripper 1950X,22069,899
Intel Xeon E5-2698 v4 @ 2.20GHz,21789,3226
Intel Xeon E5-2673 v4 @ 2.30GHz,21625,
Intel Xeon W-2150B @ 3.00GHz,21581,
Intel Xeon E5-2697 v4 @ 2.30GHz,21525,2805
Intel Xeon E5-2697 v3 @ 2.60GHz,21488,2661.9
Intel Xeon E5-2696 v4 @ 2.20GHz,21331,3009.95
Intel Xeon E5-2690 v4 @ 2.60GHz,21323,2360.37
Intel Xeon E5-2698 v3 @ 2.30GHz,21149,3424.02
Intel Xeon Gold 6136 @ 3.00GHz,20412,2609.99
Intel Xeon E5-2695 v3 @ 2.30GHz,20346,2499.99
Intel Xeon E5-2695 v4 @ 2.10GHz,20258,2483.99
Intel Xeon Gold 6130 @ 2.10GHz,20222,1984.99
Intel Core i7-6950X @ 3.00GHz,19999,1575.55
Intel Xeon E5-2680 v4 @ 2.40GHz,19953,1762.9
Intel Xeon E5-2687W v4 @ 3.00GHz,19950,2307.31
Intel Xeon W-2145 @ 3.70GHz,19890,1113
Intel Xeon Gold 6144 @ 3.50GHz,19833,2925
Intel Xeon E5-2689 v4 @ 3.10GHz,19521,
Intel Xeon E5-2686 v3 @ 2.00GHz,19255,
Intel Xeon E5-2690 v3 @ 2.60GHz,19240,2359.99
Intel Xeon E5-2683 v4 @ 2.10GHz,19047,1899.99
AMD EPYC 7501,18942,3649.99
Intel Core i7-7820X @ 3.60GHz,18641,469.99
Intel Xeon E5-2680 v3 @ 2.50GHz,18626,2008.95
Intel Core i7-7900X @ 3.30GHz,18539,
AMD EPYC 7551,18483,3699.99
AMD EPYC 7401P,18465,1149.99
Intel Xeon E5-1681 v3 @ 2.90GHz,18238,
AMD Ryzen Threadripper 1920X,18207,749.99
Intel Xeon Gold 5120T @ 2.20GHz,18145,1727
Intel Xeon Gold 6134 @ 3.20GHz,18083,2348.26
Intel Xeon W-2140B @ 3.20GHz,18016,
Intel Xeon E5-4660 v3 @ 2.10GHz,18007,4800
AMD EPYC 7351P,17991,768.43
Intel Xeon E5-2660 v4 @ 2.00GHz,17786,1489.97
Intel Xeon E5-2687W v3 @ 3.10GHz,17719,3009.95
Intel Core i7-6900K @ 3.20GHz,17690,1077.04
Intel Xeon E5-2676 v3 @ 2.40GHz,17652,
Intel Xeon E5-2697 v2 @ 2.70GHz,17425,2235.02
Intel Xeon E5-2683 v3 @ 2.00GHz,17422,1984.99
Intel Xeon E5-1680 v4 @ 3.40GHz,17089,
Intel Xeon E5-2673 v3 @ 2.40GHz,16982,700
Intel Xeon E5-2678 v3 @ 2.50GHz,16905,
Intel Xeon Silver 4116 @ 2.10GHz,16723,1121.16
Intel Xeon E5-2696 v2 @ 2.50GHz,16681,
Intel Xeon E5-2667 v4 @ 3.20GHz,16654,2486.48
Intel Xeon E5-1680 v3 @ 3.20GHz,16649,
Intel Xeon E5-2670 v3 @ 2.30GHz,16619,1450
Intel Xeon E5-1680 v2 @ 3.00GHz,16524,
Intel Xeon E5-2690 v2 @ 3.00GHz,16503,624
Intel Xeon E5-2687W v2 @ 3.40GHz,16484,3713.55
Intel Xeon W-2135 @ 3.70GHz,16460,989.48
Intel Xeon E5-2673 v2 @ 3.30GHz,16320,
Intel Xeon E5-2658 v3 @ 2.20GHz,16298,
Intel Xeon E5-2658 v4 @ 2.30GHz,16290,
Intel Xeon E5-1660 v4 @ 3.20GHz,16262,
Intel Xeon E5-2660 v3 @ 2.60GHz,16151,1529.95
Intel Xeon E5-2667 v3 @ 3.20GHz,16101,2259.95
Intel Xeon E5-2667 v2 @ 3.30GHz,16093,742
Intel Core i7-8700K @ 3.70GHz,16069,347.89
